epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,484.619,1.66283,1.99376,2.17867,0.24029,0.10169,0.14285,0.07028,2.12806,3.50218,2.74304,0.0010892,0.0010892,0.0010892
140,488.318,1.87073,2.30097,2.31483,0.06509,0.55932,0.12661,0.0733,2.16784,3.79025,2.84432,0.0010826,0.0010826,0.0010826
141,491.869,2.03378,2.24333,2.36097,0.06567,0.59322,0.15129,0.0867,2.28013,3.62531,2.93981,0.001076,0.001076,0.001076
142,495.403,1.77616,2.18234,2.23988,0.38907,0.22034,0.24318,0.10415,2.34206,3.09967,3.02239,0.0010694,0.0010694,0.0010694
143,498.876,1.58737,2.62852,1.94633,0.07516,0.61017,0.15208,0.0792,2.28567,3.53245,3.0561,0.0010628,0.0010628,0.0010628
144,502.387,1.67922,2.1477,2.20242,0.08,0.20339,0.06882,0.03587,2.36287,4.25468,3.22818,0.0010562,0.0010562,0.0010562
145,505.874,1.57489,2.12293,2.08978,0.7023,0.0678,0.10228,0.06012,2.33485,4.16651,3.15825,0.0010496,0.0010496,0.0010496
146,509.344,1.77793,1.9814,2.28006,0.09524,0.30508,0.13349,0.07343,2.40346,4.0525,3.08076,0.001043,0.001043,0.001043
147,513.068,1.85395,2.16449,2.28853,0.07713,0.47458,0.16541,0.08905,2.41392,3.80716,3.11892,0.0010364,0.0010364,0.0010364
148,516.688,1.60502,1.99705,2.14727,0.27954,0.08475,0.14956,0.08201,2.44362,3.66386,3.25756,0.0010298,0.0010298,0.0010298
149,520.341,1.75152,2.09267,2.13893,0.15765,0.13559,0.12181,0.05204,2.37211,3.54379,3.03362,0.0010232,0.0010232,0.0010232
150,523.939,1.75662,1.91055,2.22487,0.21744,0.10169,0.12738,0.06221,2.24491,3.58127,2.86686,0.0010166,0.0010166,0.0010166
151,527.525,1.87298,2.26895,2.28729,0.30428,0.31141,0.23676,0.12356,2.0933,3.48539,2.69304,0.00101,0.00101,0.00101
152,531.197,1.609,1.70665,2.04999,0.32811,0.0678,0.10363,0.05886,2.27698,3.81295,2.88763,0.0010034,0.0010034,0.0010034
153,534.747,1.62559,1.80099,2.08734,0.21137,0.0678,0.10065,0.05696,2.23584,3.82855,2.86799,0.0009968,0.0009968,0.0009968
154,538.38,1.62328,1.95049,2.10593,0.49248,0.0678,0.13171,0.07463,2.24239,3.77153,2.85938,0.0009902,0.0009902,0.0009902
155,541.897,1.7043,1.74422,2.0923,0.49773,0.08405,0.16076,0.08498,2.37243,3.62903,2.96657,0.0009836,0.0009836,0.0009836
156,545.439,1.67617,2.06483,2.16263,0.43636,0.05085,0.10704,0.05755,2.49415,4.07516,3.32075,0.000977,0.000977,0.000977
157,548.973,1.8233,2.04146,2.19739,0.46037,0.08475,0.12796,0.06933,2.55751,4.23447,3.49096,0.0009704,0.0009704,0.0009704
158,552.498,1.7282,2.07453,2.18311,0.57538,0.05085,0.10415,0.05616,2.56543,4.32717,3.50358,0.0009638,0.0009638,0.0009638
159,556.038,1.60138,1.84803,2.092,0.41861,0.11864,0.135,0.07196,2.45253,4.04372,3.2902,0.0009572,0.0009572,0.0009572
160,559.636,1.66625,1.99095,2.08124,0.30637,0.16949,0.18578,0.09384,2.337,3.63231,3.04783,0.0009506,0.0009506,0.0009506
161,563.208,1.75951,2.05189,2.11969,0.08571,0.45763,0.23258,0.10367,2.35162,3.76102,2.97761,0.000944,0.000944,0.000944
162,566.707,1.60057,2.23287,1.9205,1,0.0669,0.14568,0.06773,2.36062,3.90521,3.0584,0.0009374,0.0009374,0.0009374
163,570.299,1.73214,2.32788,2.20457,0.07547,0.40678,0.15036,0.07372,2.39109,3.9165,3.08503,0.0009308,0.0009308,0.0009308
164,573.885,1.47095,1.77697,2.00072,0.43894,0.15931,0.22829,0.12149,2.31896,3.29388,3.03287,0.0009242,0.0009242,0.0009242
165,577.504,1.7703,2.17021,2.18327,0.53292,0.10169,0.2968,0.15315,2.38803,3.24799,3.16,0.0009176,0.0009176,0.0009176
166,581.198,1.71114,1.84472,2.13517,0.43456,0.13559,0.23529,0.12038,2.32887,3.15884,3.00705,0.000911,0.000911,0.000911
167,584.835,1.60229,1.8114,2.03443,0.37435,0.22034,0.23983,0.11967,2.3264,3.1483,2.84507,0.0009044,0.0009044,0.0009044
168,588.472,1.55572,1.59198,1.99307,0.3914,0.11997,0.18951,0.09678,2.35001,3.52364,2.948,0.0008978,0.0008978,0.0008978
169,592.033,1.64068,1.85018,2.03666,0.33749,0.10169,0.1644,0.07963,2.40698,3.70707,3.07182,0.0008912,0.0008912,0.0008912
170,595.565,1.60826,1.89714,2.04426,0.49067,0.0678,0.12059,0.06536,2.32684,3.90201,2.98734,0.0008846,0.0008846,0.0008846
171,599.081,1.75438,2.10024,2.15925,0.57553,0.05085,0.06581,0.04034,2.33996,4.32697,3.04941,0.000878,0.000878,0.000878
172,602.656,1.59721,1.81188,2.08807,0.25091,0.05085,0.06264,0.03481,2.28596,3.77633,2.9082,0.0008714,0.0008714,0.0008714
173,606.314,1.44399,1.77755,2.0079,0.1698,0.2323,0.15547,0.08863,2.28591,3.33702,2.94376,0.0008648,0.0008648,0.0008648
174,609.892,1.51183,1.80731,2.07769,0.2652,0.22034,0.23641,0.11024,2.33062,2.84752,2.93418,0.0008582,0.0008582,0.0008582
175,613.712,1.44263,1.77961,1.99425,0.43323,0.22034,0.26723,0.12773,2.36781,2.88893,2.94584,0.0008516,0.0008516,0.0008516
176,617.272,1.3972,1.49417,1.91603,0.09657,0.52542,0.24184,0.13887,2.33345,3.52865,2.92696,0.000845,0.000845,0.000845
177,620.889,1.31622,1.86227,1.79658,0.68303,0.16949,0.24954,0.12927,2.37518,3.28649,2.93662,0.0008384,0.0008384,0.0008384
178,624.44,1.64805,1.6684,2.02591,0.40099,0.0678,0.16637,0.08579,2.27523,3.62783,2.94275,0.0008318,0.0008318,0.0008318
179,627.917,1.5638,2.06199,1.95026,0.07797,0.38983,0.12282,0.06525,2.28769,4.03468,2.99535,0.0008252,0.0008252,0.0008252
180,631.49,1.50918,1.71783,2.00902,0.26308,0.16949,0.17616,0.08617,2.34544,3.3326,2.93781,0.0008186,0.0008186,0.0008186
181,635.103,1.54131,1.96253,1.98577,0.421,0.11864,0.19674,0.09677,2.32904,3.21835,2.91385,0.000812,0.000812,0.000812
